1.5	5.54E-02
2.5	4.19E+02
3.5	6.15E+03
4.5	1.92E+04
5.5	3.56E+04
6.5	5.35E+04
7.5	7.22E+04
8.5	1.57E+05
9.5	1.13E+05
10.5	6.53E+04
11.5	5.17E+04
12.5	4.24E+04
13.5	4.63E+04
14.5	5.06E+04
15.5	5.47E+04
16.5	5.78E+04
17.5	6.18E+04
18.5	6.35E+04
19.5	6.64E+04
20.5	6.82E+04
21.5	6.93E+04
22.5	7.05E+04
23.5	7.05E+04
24.5	7.10E+04
25.5	7.10E+04
26.5	6.99E+04
27.5	6.93E+04
28.5	6.87E+04
29.5	6.76E+04
30.5	6.70E+04
31.5	6.53E+04
32.5	6.41E+04
33.5	6.24E+04
34.5	6.12E+04
35.5	5.95E+04
36.5	5.89E+04
37.5	5.66E+04
38.5	5.47E+04
39.5	5.31E+04
40.5	5.20E+04
41.5	4.98E+04
42.5	4.87E+04
43.5	4.72E+04
44.5	4.56E+04
45.5	4.43E+04
46.5	4.30E+04
47.5	4.12E+04
48.5	4.04E+04
49.5	3.89E+04
50.5	3.74E+04
51.5	3.63E+04
52.5	3.54E+04
53.5	3.42E+04
54.5	3.30E+04
55.5	3.17E+04
56.5	3.10E+04
57.5	3.01E+04
58.5	4.56E+04
59.5	5.83E+04
60.5	2.65E+04
61.5	2.70E+04
62.5	2.46E+04
63.5	2.37E+04
64.5	2.25E+04
65.5	2.19E+04
66.5	2.11E+04
67.5	3.13E+04
68.5	1.95E+04
69.5	2.08E+04
70.5	1.53E+04
71.5	1.51E+04
72.5	1.41E+04
73.5	1.36E+04
74.5	1.34E+04
75.5	1.28E+04
76.5	1.20E+04
77.5	1.13E+04
78.5	1.09E+04
79.5	1.07E+04
80.5	1.01E+04
81.5	9.57E+03
82.5	8.86E+03
83.5	8.38E+03
84.5	7.58E+03
85.5	7.34E+03
86.5	6.69E+03
87.5	6.36E+03
88.5	5.78E+03
89.5	5.41E+03
90.5	4.75E+03
91.5	4.24E+03
92.5	3.72E+03
93.5	3.33E+03
94.5	2.82E+03
95.5	2.39E+03
96.5	1.94E+03
97.5	1.35E+03
98.5	8.89E+02
99.5	3.32E+02
